Transportadora;CIDADE ORIGEM;CIDADE DESTINO;UF;Até 10kg;Até 20kg;Até 30kg; Até 40kg ; Até 50kg ; Até 60kg ; Até 70kg ;Até 80kg;Até 90kg;Até 100kg;Até 150kg;TX Embarque;Frete Valor;Frete Peso; TX ADM ;GRIS; GRISS MINIMO ; TDE ; TAXA QUIMICO ; QTDE PRAÇA ;FRAÇÃO;MINIMO; Sigla Praça 
Leomar;PORTO ALEGRE;NOVO CABRAIS;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PALMITINHO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PANTANO GRANDE;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PARAI;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PARECI NOVO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PASSA SETE;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PASSO DO SOBRADO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PAULO BENTO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PAVERAMA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PEJUCARA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PINHAL;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PINHAL DA SERRA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PINHEIRINHO DO VALE;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PINTO BANDEIRA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PLANALTO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;POCO DAS ANTAS;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PONTE PRETA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;POUSO NOVO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PROGRESSO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;PROTASIO ALVES;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;QUATRO IRMAOS;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;QUINZE DE NOVEMBRO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;RELVADO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;RIO PARDO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;RODEIO BONITO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;RONDA ALTA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;RONDINHA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;ROQUE GONZALES;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SANTA BARBARA DO SUL;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SANTA TEREZA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SANTO ANTONIO DA PATRULHA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SANTO ANTONIO DO PALMA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SANTO ANTONIO DO PLANALTO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SANTO CRISTO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SAO JOAO DO POLESINE;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SAO JORGE;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SAO JOSE DO HERVAL;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SAO JOSE DO SUL;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SAO JOSE DOS AUSENTES;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SAO PEDRO DAS MISSOES;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SAO VALENTIM;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SAO VALENTIM DO SUL;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SEBERI;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SEGREDO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SENADOR SALGADO FILHO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SERIO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SERTAO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SEVERIANO DE ALMEIDA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;SINIMBU;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TABAI;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TAQUARUCU DO SUL;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TENENTE PORTELA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TERRA DE AREIA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TIO HUGO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TRAMANDAI;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TRAVESSEIRO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TRES ARROIOS;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TRES CACHOEIRAS;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TRES DE MAIO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TRES FORQUILHAS;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TRIUNFO;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TUCUNDUVA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TUPANDI;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TUPARENDI;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;TURUCU;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;UNIAO DA SERRA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;VALE DO SOL;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;VALE VERDE;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
Leomar;PORTO ALEGRE;VESPASIANO CORREA;RS; R$ 4,54 ; R$ 9,08 ; R$ 13,62 ; R$ 18,16 ; R$ 22,70 ; R$ 27,24 ; R$ 31,78 ; R$ 36,32 ; R$ 40,86 ; R$ 45,40 ;;;0,50%;0,454; R$ 46,45 ;0,15%; R$ 3,00 ;;;;;;PFUR CXSI OSOR STMR LAJI IJUR PELR 
